context_type,count
Stolphå,1
Knadderstensyta,1
Kulturager,1
Kluturlager,1
Atörhål,1
Kar,1
Störning (ej anläggning),1
Härd/ässja,1
Stenpackning/ugn,1
Härd/Ränna,1
Spetsad käpp,1
"Skärvstenslager, Spetsad käpp",1
"Lager, Huggspån",1
"Lager, Hornyxa",1
Naturformation,1
Storhög,1
Spisfundamnet,1
Bägbeläggning,1
Tolvlager,1
Barksjok,1
Härd/Bålplats,1
Drivved,1
Terrasserinng,1
Grävemhet,1
Ugn/grop,1
Kvartsansamling,1
Åkeravgränsning,1
Nedgrävning/dike,1
Låhtemperaturugn,1
Planka,1
Gropmila,1
Röjningslager?,1
Eldstad under röse,1
Naturbildning?,1
Koncentration av bränd lera,1
Gärdsgård,1
Stötta i portal,1
Bottenstock,1
Stensättning?,1
Grophård,1
Jordbegravning,1
Golvlagegr,1
Fyndplats (Spadformigt ämnesjärn)),1
Fyndplats (järnklump),1
Brandleger,1
Tunna,1
Del av byggnadsställning,1
Hästgrav,1
Brand- och slelettbegravning,1
Needgrävning,1
Hantverksgrop,1
Hätd/kokgrop,1
Bålplats/sekundärgrav,1
Stenflak,1
Brandlager/bålplats,1
Husränna,1
Stenkonstruktuktion,1
Rostgrop,1
"Stensättning, närmast fyrsidig",1
"Stensättning, rund med mittblock",1
Stenmur/terrass,1
Kojgrund,1
Bordstake,1
"Stensättning, oregelbundet rund",1
Stpöåhål,1
Grop med rödockra,1
Gjutgrop,1
Kluva,1
Jordkällare,1
Trumstock,1
Pipmur,1
Stensträng/hålväg,1
Stolpgål,1
/Stolphål,1
Dumpgrop,1
Stenskista,1
Stensättning med gravklot,1
Fartygstimmer,1
Bäckfåra?,1
Hartstätning,1
Skida,1
Atolphål,1
Tjärtunna,1
Kultur/brandlager,1
Grop/keramikugn?,1
Vattenhål/brunn,1
Stenrad,1
Sidoblocksgrav,1
Försvarsanläggning,1
Bål/kremeringsplats,1
Verkstadsgrop,1
Härtd,1
Flintdeposition,1
"Stensättning, oregelbundet tresidig",1
Kolningsgropen,1
Gropsysten,1
Kol/malmupplag,1
Bro/brygga,1
Grav med täcksten,1
Hantverksområde,1
Härdgrop/stolphål,1
Härdbotten,1
Kolbod,1
Nordligaste stocken,1
Sydligaste stocken,1
Västra stocken,1
Byggnadskonstruktion,1
Korg,1
Spetsad stör,1
Krönröse,1
Brandgrv,1
Farledsspärr,1
Deponering,1
Grop/Ugn,1
Hytta,1
Tjärdal/tjärränna,1
Bränd sand och träkol,1
Skärvstenspackning/härd,1
Keramikkoncentrationa,1
"Stenkonstruktion, fyrkantig",1
"Stenkonstruktion, rund",1
Avfalls/skärvstenslager,1
Atenläggning,1
Eldplats,1
Mörkförgning,1
Lerplatta/ugn,1
Väggrest,1
Järnframställinngsugn,1
Gtop,1
Såg/kvarn,1
Bogårdsmur,1
Båtskrov,1
Kalkgolv,1
"Skelettgrav, omarkerad",1
Dikesbotten,1
Lager på stig,1
Stenlagd väg,1
Dikeskant,1
"Stensättning, rundad rektangulär",1
"Stensättning, rung",1
"Stensättning, oregelbundet rektangulär",1
"Stensättning, halvmånformad",1
Stensamling/blockgrav,1
Träram,1
Dragstör,1
Svämlager,1
Kolbädd,1
Vägbädd,1
Gårdslager,1
Kakllrost?,1
Trästock,1
Träskoning,1
Hyttstuga,1
Hjulgrav,1
Vattenränna,1
Kolhus,1
Del av timmerbyggnad,1
Lager 4,1
Teggräns,1
Järnbearbetningsplats,1
Centralgrav,1
Täckdike,1
"Hög, kammargrav",1
"Blockgrav, oval",1
"Rest sten, friliggande kantkedja",1
Stensträmg,1
Transgressionslager,1
Blockkonstruktion/stensättning,1
Stenkonstruktion/grav,1
Braldgrav,1
Urgnegrav,1
Sotlager/kollager,1
Stybblager,1
"Stensättning, sekundärgrav",1
"Stensättning, sekundär",1
"Stensnättning, oregelbunden",1
Referensenhet,1
Kulturlager/ränna,1
Offerdepå,1
Odlngslager,1
Flstmarksgrav,1
"Stensättning, rektagulär",1
Kokgrop/Härd,1
"Stensättniing, rundad",1
"Dike, Fyllning",1
Dubbelgrav,1
Tunnband,1
Smideslämning,1
Träkäpp,1
Oslingslager,1
Rööjningsröse,1
Lolgrop,1
"Stensättning, jordblandad",1
Kremeringplats,1
"Grop, Offerfynd)",1
"Stensättning, rond",1
Tresidig stensättning,1
Röjningseld,1
Barngrav,1
Svedjeskikt,1
Rostbädd,1
Vävstolsgrop,1
Sprängstensgrop,1
Stensättningsliknande lämning,1
Stolplhål,1
Fönsterkarm,1
Sothorisont,1
Knadderstenslager,1
Sandlager,1
Grundsula,1
"Stensättning, halvcireklformad",1
"Stensättning, skeppformig",1
Hydda 5,1
Kokstensupplag,1
Skärvstenskrets,1
Sot/kollins,1
Pålningsanläggning,1
Smidesugn,1
Svämmlager,1
Skeppsdetalj,1
Grop/härd,1
Träföremål,1
Påle i vallgrav,1
"Stensättning, fyrudd",1
Fyrudd,1
Kvartsgömma,1
Kolbotten/stybbotten,1
Yxskaft,1
Nedgrävnong,1
Avallsgrop,1
Nedgrävning/ugn,1
Nedgrävning/avfallsgrop,1
Ej bestämbar,1
Stockkista,1
Sotkomcentration,1
Kol/bengrop,1
Spisröse eller ugn,1
Klockgjuteri,1
Klockgjutningsgrop,1
Bronsgjutningsgrop,1
Trappa,1
Kalkbruksgolv,1
Branfgrav,1
12338,1
"Vagnsdel, Skakel",1
Lager med bränd lera,1
Kokgrop?,1
Malmrost,1
Köttgrop,1
Grop/rökugn,1
Stenstruktur,1
Grav?,1
"Stensättning, avlång",1
Träglv,1
Sättsand,1
Flätverk (vägg),1
Förråds/förvaringsgrop,1
Kistbegravning,1
Kol/sotlager,1
Torvlins,1
Ränna/diike,1
Smidesanläggning,1
"Stensättning, kvaderatsk",1
"Stensättning, dubbel",1
"Stensättning, närmast oval",1
Lager med förslaggad lera,1
Keramikbränningsgrop,1
"Stenring, oval",1
Eldhus,1
Rödockralager,1
Groop,1
Stensättning invid block,1
Grop/grav,1
Kulurlager,1
Grop/Brunn,1
Träsyll,1
Gro0p,1
Källargrund,1
Hamnläge,1
Påle 4,1
Lager 3,1
Hörg,1
Bottensediment,1
Braqndgrop,1
Stenhus,1
Slaggrop/Ugn,1
Flätverk,1
Fyllningslager,1
Skrädhög,1
Malmhög,1
Kol/golvlager,1
"Stensättning, rund/oval",1
Under eldpall,1
Ässja/smidesgrop,1
Rostlave,1
Mosse,1
Gavelränna,1
Skärvstanshög,1
Trädrot,1
Sot- kolfläck,1
Kokkoncentration,1
Härd/Urnegrav,1
Föremål,1
Stoolphål/sotfläck,1
"Lager, Dös 5",1
"Lager, Dös 1",1
"Golvlager, Dös 12",1
Lågtemperaturugn,1
Stemkrets,1
Bottenlager,1
Tomtgränsdike,1
Område med brända ben,1
Träflislager,1
Staket,1
Flärverkskorg,1
Kalkbrukskar,1
Ramverk,1
Flätverkskorg,1
stolphål,1
Komplest stenröse,1
"Röjningsröse, komplext",1
Räjningsröse,1
Komplext stensröe,1
Pinne,1
Tömningsgrop,1
Fällslagglager,1
Ugnsgrop,1
Kistgrav,1
Bärkista,1
Stolpkonstruktion,1
Kistkonstruktion,1
Husparti,1
Fornborgsmur,1
Ugn/utkast,1
Ugn/golvlager,1
Tramphorisont,1
"Brandgrav, omarkerad",1
Skrotstenshög,1
Ränna/störhål,1
Ansamling av tra,1
"Stensättnings, ocal",1
Hundgrav,1
"Lager, fyndförande",1
hög,1
Härd 7429,1
Skärvstensförkomst,1
Slagggrop,1
Sedjelager,1
Svedkelager,1
"Tomtning, rekangulär",1
Mitblocksgrav,1
Kokgropssysten,1
Omarkerad stenkrets,1
Stenring,1
Spismursröse,1
Provgrop,1
"Liggmila, plattform",1
Malmrostningsplats,1
Slaggkanal,1
Stockar,1
Hushörn,1
Syllunderlag,1
Strandlinje,1
Markbrand,1
Matkbrad,1
"Stensättning, närmast tresidig",1
Mörkfärgning/stolphål,1
"Stensättning, sjuhörnad",1
Takstol,1
Putsgolv,1
Spåntak,1
Odlinslager,1
Källare/grundmur,1
Irnegrav,1
Gränsröse,1
Sot- och kollins,1
Golvregel,1
Skärvstansflak,1
Gropavall,1
Åkerhak,1
Brandgrab,1
242,1
Slagguppsamlingplats,1
Bordplanka,1
Kulturlagergrop,1
Stensättning med brätte,1
12404,1
Malmupplag,1
Offerkärr,1
Bålplats?,1
Hyddränna,1
Putsvägg,1
Grop/ränna,1
Kalktäktsgrop,1
Svämsediment,1
Beredningsgrop,1
Svedja,1
Brandgrop/härd,1
Härd/brandgrop,1
Kulturlager/härd,1
Fasadgrop,1
Åkeryta,1
Stör i Katsa,1
Ej anläggning,1
Båtlämning,1
Annan anläggning,1
Åkerparcell,1
Förvaringslår,1
"Markyta, väg",1
Skalhorisont,1
Svallsand,1
Flintkoncentration,1
Brandskikt,1
Gravrest,1
Härd/avfallsgrop,1
Fossil åker,1
Lager/stolphål,1
Härd/Kokgrop,1
"Klumpsten, bensamling",1
"Röse, jordblandat",1
Hyddgolv,1
Järnugn,1
Skeppsdetalj/Drev,1
Träprov,1
Härd/masugn,1
Flätverksvägg,1
Grop/hydda,1
Konstruktion,1
Stenpackning/skelettgrav,1
Lager (störningI,1
Gravfyllning,1
Grop med slipstenar,1
Stenrösem komplext,1
"Dös, stenlyft",1
Dös/stenlyft,1
"Hög, oval",1
Kista med brända ben,1
Skärvstens,1
Kulturlagerrest,1
"Stensättning, Oval",1
"Stensättning, rest sten",1
Härdgrop/Kokgrop,1
Ugn/Ässja,1
Slagg/malmlager,1
"Stensättning, Oregelbunden",1
brandlager,1
Unrebrandgrgav,1
Vägbeläggning,1
Brandrester,1
Kastalruin,1
Sockendike,1
Ränna. Cirkulär,1
"Ränna, cirkulär",1
Fyrkanal,1
Lergrop,1
Reduceringsanläggning,1
"Stensättningsliknande anläggning, tresidig",1
Under sockelstenar,1
Huggkubbe,1
Östra golvgropen,1
Härdplatta,1
Smidesässja,1
Kalkflislager,1
Värmegrop,1
Kalkstenslager,1
Bearbetat trä,1
Stenbräm,1
Härd/Ugn,1
Halvkällare,1
Kolbox,1
Boplatslämning övrig,1
Tegdike,1
Eldgrop,1
Stenfylld nedgrävning,1
Utfylnadslager,1
Garverikar,1
Kkavelbro,1
Frödepå,1
Gjuterihärd,1
Gjuterigrop,1
Eldningslager,1
Stolphåö,1
Eldningsfrop,1
