species_split,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english
olvon,species (common name),Viburnum,Alliaceae,Asparagales,olvon,Viburnum opulus,Plantae,2888605,Viburnum opulus,SPECIES,EXACT,100,https://www.gbif.org/species/2888605,Crampbark
cerealia idet,,,,,,,,,,,,,,
poaceae indet,genus (latin),Poaceae,Poaceae,Poales,,,Plantae,3073,Poaceae,FAMILY,EXACT,96,https://www.gbif.org/species/3073,Cereal
blandmaterial,,,,,,,,,,,,,,
brakved,species (common name),Frangula,Rhamnaceae,Rosales,brakved,Frangula alnus,Plantae,3039454,Frangula alnus,SPECIES,EXACT,100,https://www.gbif.org/species/3039454,Alder Buckthorn
ekbark,,,,,,,,,,,,,,
cf tilia sp,genus (latin),Tilia,Tiliaceae,Malvales,,,Plantae,3152041,Tilia,GENUS,EXACT,96,https://www.gbif.org/species/3152041,Basswood
triticum vulgare,,,,,,,,,,,,,,
triticum monococcum,,,,,,,,,,,,,,
cf picea sp,genus (latin),Picea,Pinaceae,Pinales,,,Plantae,7606064,Picea,GENUS,EXACT,95,https://www.gbif.org/species/7606064,Spruce
nöt,animal (common name),,,,nöt,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
örtfragment,,,,,,,,,,,,,,
svin,animal (common name),,,,svin,Sus scrofa domesticus,Animalia,11374585,Sus scrofa domesticus,SUBSPECIES,EXACT,99,https://www.gbif.org/species/11374585,Domestic Pig
hund,animal (common name),,,,hund,Canis lupus familiaris,Animalia,6164210,Canis lupus familiaris,SUBSPECIES,EXACT,100,https://www.gbif.org/species/6164210,Domestic Dog
tågvirke,,,,,,,,,,,,,,
hovdjur,,,,,,,,,,,,,,
vikare,animal (common name),,,,vikare,Pusa hispida,Animalia,5219369,Pusa hispida,SPECIES,EXACT,100,https://www.gbif.org/species/5219369,Arctic Ringed Seal
uroxe,animal (common name),,,,uroxe,Bos primigenius,Animalia,2441024,Bos primigenius,SPECIES,EXACT,100,https://www.gbif.org/species/2441024,Auroch
bäver,animal (common name),,,,bäver,Castor fiber,Animalia,4409131,Castor fiber,SPECIES,EXACT,100,https://www.gbif.org/species/4409131,Beaver
grässtrå,,,,,,,,,,,,,,
gnagare,animal (order),,,Rodentia,gnagare,,Animalia,1459,Rodentia,ORDER,EXACT,96,https://www.gbif.org/species/1459,Rodent
rottrådar,,,,,,,,,,,,,,
rådjur,animal (common name),,,,rådjur,Capreolus capreolus,Animalia,5220126,Capreolus capreolus,SPECIES,EXACT,100,https://www.gbif.org/species/5220126,Corzo
gris,animal (common name),,,,gris,Sus scrofa domesticus,Animalia,11374585,Sus scrofa domesticus,SUBSPECIES,EXACT,99,https://www.gbif.org/species/11374585,Domestic Pig
kärrsköldpadda,animal (common name),,,,kärrsköldpadda,Emys orbicularis,Animalia,8909809,Emys orbicularis,SPECIES,EXACT,100,https://www.gbif.org/species/8909809,European Pond Terrapin
björn,animal (common name),,,,björn,Ursus arctos,Animalia,2433433,Ursus arctos,SPECIES,EXACT,100,https://www.gbif.org/species/2433433,Brown Bear
tallkotte,,,,,,,,,,,,,,
ticka,genus (suffix-inferred),Levisticum,Apiaceae,Apiales,,,Plantae,5371771,Levisticum,GENUS,EXACT,96,https://www.gbif.org/species/5371771,Lovage
stort hovdjur,,,,,,,,,,,,,,
vicker,genus (suffix-inferred),Vicia,Fabaceae,Fabales,,,Plantae,2974751,Vicia,GENUS,EXACT,96,https://www.gbif.org/species/2974751,Vetch
dinkel,,,,,,,,,,,,,,
fågel,,,,,,,,,,,,,,
ljung,species (common name),Calluna,Ericaceae,Ericales,ljung,Calluna vulgaris,Plantae,2882482,Calluna vulgaris,SPECIES,EXACT,99,https://www.gbif.org/species/2882482,Common Heather
hästsko,,,,,,,,,,,,,,
säl,animal (family),,Phocidae,,säl,,Animalia,5310,Phocidae,FAMILY,EXACT,96,https://www.gbif.org/species/5310,Crawling Seals
emmervete,species (common name),Triticum,Poaceae,Poales,emmervete,Triticum turgidum,Plantae,2706406,Triticum turgidum,SPECIES,EXACT,99,https://www.gbif.org/species/2706406,Rivet Wheat
organisk massa,,,,,,,,,,,,,,
gräs,"genus (suffix, ambiguous)",,,,,,,,,,,,,
alkottar,,,,,,,,,,,,,,
crerealia indet,,,,,,,,,,,,,,
gråärt,,,,,,,,,,,,,,
bränd markvegetation,,,,,,,,,,,,,,
gädda,animal (common name),,,,gädda,Esox lucius,Animalia,2346633,Esox lucius,SPECIES,EXACT,100,https://www.gbif.org/species/2346633,American Pike
rotfilt,,,,,,,,,,,,,,
förkolnad,,,,,,,,,,,,,,
lövträ,,,,,,,,,,,,,,
cf corylus avellana,,,,,,,,,,,,,,
korgblommiga växter,,,,,,,,,,,,,,
katt,animal (common name),,,,katt,Felis catus,Animalia,2435035,Felis catus,SPECIES,EXACT,100,https://www.gbif.org/species/2435035,Alley Cat
getapel,species (common name),Rhamnus,Rhamnaceae,Rosales,getapel,Rhamnus catharticus,Plantae,3039491,Rhamnus cathartica,SPECIES,FUZZY,97,https://www.gbif.org/species/3039491,Buckthorn
tamsvin,animal (common name),,,,tamsvin,Sus scrofa domesticus,Animalia,11374585,Sus scrofa domesticus,SUBSPECIES,EXACT,99,https://www.gbif.org/species/11374585,Domestic Pig
ospec.,,,,,,,,,,,,,,
hjärnsubstans,,,,,,,,,,,,,,
maloidea,,,,,,,,,,,,,,
hasselskal,,,,,,,,,,,,,,
ran,"genus (suffix, ambiguous)",,,,,,,,,,,,,
murgröna,species (common name),Hedera,Araliaceae,Apiales,murgröna,Hedera helix,Plantae,8351737,Hedera helix,SPECIES,EXACT,99,https://www.gbif.org/species/8351737,Common Ivy
sot i keramik,,,,,,,,,,,,,,
ärta,"genus (suffix, ambiguous)",,,,,,,,,,,,,
böna,species (common name),Phaseolus,Fabaceae,Fabales,böna,Phaseolus vulgaris,Plantae,5350452,Phaseolus vulgaris,SPECIES,EXACT,99,https://www.gbif.org/species/5350452,Bean
fisk,,,,,,,,,,,,,,
delfin,animal (family),,Delphinidae,,delfin,,Animalia,5314,Delphinidae,FAMILY,EXACT,96,https://www.gbif.org/species/5314,Dolphin
hjort,animal (common name),,,,hjort,Cervus elaphus,Animalia,2440958,Cervus elaphus,SPECIES,EXACT,100,https://www.gbif.org/species/2440958,Barbary Red Deer (barbarus)
rosväxt,,,,,,,,,,,,,,
harts,,,,,,,,,,,,,,
cf pinus sp,genus (latin),Pinus,Pinaceae,Pinales,,,Plantae,2684241,Pinus,GENUS,EXACT,96,https://www.gbif.org/species/2684241,Deal
sädeskorn,,,,,,,,,,,,,,
cf acer sp,genus (latin),Acer,Acoraceae,Alismatales,,,Plantae,3189834,Acer,GENUS,HIGHERRANK,95,https://www.gbif.org/species/3189834,Maple
cerelia indet,,,,,,,,,,,,,,
jurpa,,,,,,,,,,,,,,
gråsäl,animal (common name),,,,gråsäl,Halichoerus grypus,Animalia,2434806,Halichoerus grypus,SPECIES,EXACT,100,https://www.gbif.org/species/2434806,Atlantic Gray Seal
brudbröd,species (common name),Filipendula,Rosaceae,Rosales,brudbröd,Filipendula vulgaris,Plantae,2988069,Filipendula vulgaris,SPECIES,EXACT,99,https://www.gbif.org/species/2988069,Dropwort
lager,,,,,,,,,,,,,,
ev. harts,,,,,,,,,,,,,,
cf maloideae,,,,,,,,,,,,,,
cf maloideae sp,,,,,,,,,,,,,,
cf vaccinium sp,genus (latin),Vaccinium,Ericaceae,Ericales,,,Plantae,2882813,Vaccinium,GENUS,EXACT,96,https://www.gbif.org/species/2882813,Bilberries
emme,,,,,,,,,,,,,,
nate,"genus (suffix, ambiguous)",,,,,,,,,,,,,
vattenklöver,species (common name),Menyanthes,Menyanthaceae,Asterales,vattenklöver,Menyanthes trifoliata,Plantae,5341511,Menyanthes trifoliata,SPECIES,EXACT,100,https://www.gbif.org/species/5341511,Bog-bean
najet korn,,,,,,,,,,,,,,
hasel,,,,,,,,,,,,,,
grönlandssäl,animal (common name),,,,grönlandssäl,Pagophilus groenlandicus,Animalia,2434801,Pagophilus groenlandicus,SPECIES,EXACT,100,https://www.gbif.org/species/2434801,Foca Pia
terrest,,,,,,,,,,,,,,
spelt- emmervete,,,,,,,,,,,,,,
trampört,genus (suffix-inferred),Polygonum,Polygonaceae,Caryophyllales,,,Plantae,2889077,Polygonum,GENUS,HIGHERRANK,95,https://www.gbif.org/species/2889077,Knotgrass
pilört,genus (suffix-inferred),Persicaria,Polygonaceae,Caryophyllales,,,Plantae,6390748,Persicaria,GENUS,EXACT,95,https://www.gbif.org/species/6390748,Knotweed
spel,,,,,,,,,,,,,,
talll,,,,,,,,,,,,,,
skogsolvon,,,,,,,,,,,,,,
poppel,genus (suffix-inferred),Populus,Salicaceae,Salicales,,,Plantae,3040183,Populus,GENUS,EXACT,96,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar"
enmöjl gran,,,,,,,,,,,,,,
betula,genus (latin),Betula,Betulaceae,Fagales,,,Plantae,2875008,Betula,GENUS,HIGHERRANK,95,https://www.gbif.org/species/2875008,Birch
svalörtsrot,,,,,,,,,,,,,,
try,"genus (suffix, ambiguous)",,,,,,,,,,,,,
oxel,species (common name),Sorbus,Rosaceae,Rosales,oxel,Sorbus intermedia,Plantae,5015,Rosaceae,FAMILY,HIGHERRANK,99,https://www.gbif.org/species/5015,Rose Family
furu,,,,,,,,,,,,,,
benved,species (common name),Evonymus,Celastraceae,Insertis Sedis,benved,Evonymus europaeus,Plantae,7403009,Evonymus europaeus,SPECIES,EXACT,100,https://www.gbif.org/species/7403009,
tandrot,species (common name),Cardamine,Brassicaceae,Brassicales,tandrot,Cardamine bulbifera,Plantae,3045931,Cardamine bulbifera,SPECIES,EXACT,99,https://www.gbif.org/species/3045931,Coralroot
ospec,,,,,,,,,,,,,,
kottefjäll. tall,,,,,,,,,,,,,,
idegran,species (common name),Taxus,Taxaceae,Pinales,idegran,Taxus baccata,Plantae,5284517,Taxus baccata,SPECIES,EXACT,99,https://www.gbif.org/species/5284517,Canada Yew
hirs,species (common name),Panicum,Poaceae,Poales,hirs,Panicum miliaceum,Plantae,2705090,Panicum miliaceum,SPECIES,EXACT,99,https://www.gbif.org/species/2705090,Brown Millet
tallbarr,,,,,,,,,,,,,,
ros,"genus (suffix, ambiguous)",,,,,,,,,,,,,
kvist,,,,,,,,,,,,,,
strå,,,,,,,,,,,,,,
triticum aestivum,,,,,,,,,,,,,,
triticum spelta,,,,,,,,,,,,,,
dicoccum,,,,,,,,,,,,,,
kalv,animal (common name),,,,kalv,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
nöthår,,,,,,,,,,,,,,
cf fraxinus sp,genus (latin),Fraxinus,Oleaceae,Lamiales,,,Plantae,3172323,Fraxinus,GENUS,EXACT,96,https://www.gbif.org/species/3172323,Ash
rotknöl,,,,,,,,,,,,,,
litet däggdjur,,,,,,,,,,,,,,
sol fraktion,,,,,,,,,,,,,,
(sol),,,,,,,,,,,,,,
matskopa,,,,,,,,,,,,,,
horn,,,,,,,,,,,,,,
oid.,,,,,,,,,,,,,,
oid,,,,,,,,,,,,,,
däggfjur,,,,,,,,,,,,,,
get alt. svin,,,,,,,,,,,,,,
kottefjäll gran,,,,,,,,,,,,,,
lid,,,,,,,,,,,,,,
avenbok,species (common name),Carpinus,Corylaceae,Fagales,avenbok,Carpinus betulus,Plantae,2875818,Carpinus betulus,SPECIES,EXACT,99,https://www.gbif.org/species/2875818,Caucasian Hornbeam
rosa sp,genus (latin),Rosa,Rosaceae,Rosales,,,Plantae,8395064,Rosa,GENUS,EXACT,95,https://www.gbif.org/species/8395064,Damask Rose
starrfrukter,,,,,,,,,,,,,,
kråkbär,species (common name),Empetrum,Ericaceae,Ericales,kråkbär,Empetrum nigrum ssp nigrum,Plantae,6387990,Empetrum nigrum nigrum,SUBSPECIES,EXACT,100,https://www.gbif.org/species/6387990,Crowberry
tuvull,species (common name),Eriophorum,Cyperaceae,Poales,tuvull,Eriophorum vaginatum,Plantae,2730185,Eriophorum vaginatum,SPECIES,EXACT,99,https://www.gbif.org/species/2730185,Cottongrass
förkolnad ört,,,,,,,,,,,,,,
förkolnade granbarr,,,,,,,,,,,,,,
halm,,,,,,,,,,,,,,
grankvist,,,,,,,,,,,,,,
större däggdjur,,,,,,,,,,,,,,
populus,genus (latin),Populus,Salicaceae,Salicales,,,Plantae,3040183,Populus,GENUS,EXACT,96,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar"
matskorpa (sol),,,,,,,,,,,,,,
obränd,,,,,,,,,,,,,,
bränt,,,,,,,,,,,,,,
nötboskap,animal (common name),,,,nötboskap,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
matskorpa (ins),,,,,,,,,,,,,,
målla,"genus (suffix, ambiguous)",,,,,,,,,,,,,
förkolnade,,,,,,,,,,,,,,
tallkottefjäll,,,,,,,,,,,,,,
frökapsel,,,,,,,,,,,,,,
obestämt,,,,,,,,,,,,,,
fröskal,,,,,,,,,,,,,,
lindbast,,,,,,,,,,,,,,
mört,animal (common name),,,,mört,Rutilus rutilus,Animalia,2359706,Rutilus rutilus,SPECIES,EXACT,100,https://www.gbif.org/species/2359706,Common Roach
torne,,,,,,,,,,,,,,
igelknopp,species (common name),Sparganium,Typhaceae,Poales,igelknopp,Sparganium emersum,Plantae,2702266,Sparganium emersum,SPECIES,EXACT,100,https://www.gbif.org/species/2702266,European Bur-reed
obränd hasselnöt,,,,,,,,,,,,,,
fårlort,,,,,,,,,,,,,,
ceralia,,,,,,,,,,,,,,
cf salix sp,genus (latin),Salix,Salicaceae,Salicales,,,Plantae,3039576,Salix,GENUS,EXACT,95,https://www.gbif.org/species/3039576,Sallow
träkol,,,,,,,,,,,,,,
ko,animal (common name),,,,ko,Bos taurus,Animalia,2441022,Bos taurus,SPECIES,EXACT,100,https://www.gbif.org/species/2441022,Aurochs
räv,animal (common name),,,,räv,Vulpes vulpes,Animalia,5219243,Vulpes vulpes,SPECIES,EXACT,100,https://www.gbif.org/species/5219243,American Cross Fox
cerealis indet,,,,,,,,,,,,,,
ulltextil,,,,,,,,,,,,,,
cerealia frag,,,,,,,,,,,,,,
fläder,species (common name),Sambucus,Alismataceae,Alismatales,fläder,Sambucus nigra,Plantae,2888728,Sambucus nigra,SPECIES,EXACT,99,https://www.gbif.org/species/2888728,Black Elder
bitterpilört,species (common name),Persicaria,Polygonaceae,Caryophyllales,bitterpilört,Persicaria hydropiper,Plantae,8323622,Persicaria hydropiper,SPECIES,EXACT,99,https://www.gbif.org/species/8323622,Marshpepper Knotweed
rosoideae,,,,,,,,,,,,,,
triticum sp,genus (latin),Triticum,Poaceae,Poales,,,Plantae,2706388,Triticum,GENUS,EXACT,96,https://www.gbif.org/species/2706388,Wheat
cf populus sp,genus (latin),Populus,Salicaceae,Salicales,,,Plantae,3040183,Populus,GENUS,EXACT,96,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar"
iris,genus (latin),Iris,Iridaceae,Asparagales,,,Plantae,2748017,Iris,GENUS,EXACT,96,https://www.gbif.org/species/2748017,Iris
rotfragment,,,,,,,,,,,,,,
knopp,"genus (suffix, ambiguous)",,,,,,,,,,,,,
stor gräsätare,,,,,,,,,,,,,,
renhår,,,,,,,,,,,,,,
ren,animal (common name),,,,ren,Rangifer tarandus,Animalia,5220114,Rangifer tarandus,SPECIES,EXACT,100,https://www.gbif.org/species/5220114,Caribou
baljfragment,,,,,,,,,,,,,,
brunskära,species (common name),Bidens,Asteraceae,Asterales,brunskära,Bidens tripartita,Plantae,5391862,Bidens tripartita,SPECIES,EXACT,99,https://www.gbif.org/species/5391862,Erect-bur-marigold
vindruvskärna,,,,,,,,,,,,,,
starrfrukt,,,,,,,,,,,,,,
åkerkrassling,,,,,,,,,,,,,,
enkorn,,,,,,,,,,,,,,
triticum,genus (latin),Triticum,Poaceae,Poales,,,Plantae,2706388,Triticum,GENUS,EXACT,96,https://www.gbif.org/species/2706388,Wheat
jlvträd,,,,,,,,,,,,,,
humle,species (common name),Humulus,Cannabaceae,Rosales,humle,Humulus lupulus,Plantae,2984535,Humulus lupulus,SPECIES,EXACT,99,https://www.gbif.org/species/2984535,Bine
smidesloppor,,,,,,,,,,,,,,
bränt ben,,,,,,,,,,,,,,
',,,,,,,,,,,,,,
hjortdjur,animal (family),,Cervidae,,hjortdjur,,Animalia,5298,Cervidae,FAMILY,EXACT,96,https://www.gbif.org/species/5298,Buck
stenbär,species (common name),Rubus,Rosaceae,Rosales,stenbär,Rubus saxatilis,Plantae,2992808,Rubus saxatilis,SPECIES,EXACT,99,https://www.gbif.org/species/2992808,Greenland thornless blackberry
björk bulk,,,,,,,,,,,,,,
fågelbär,,,,,,,,,,,,,,
rönn,species (common name),Sorbus,Rosaceae,Rosales,rönn,Sorbus aucuparia ssp aucuparia,Plantae,7272117,Sorbus aucuparia aucuparia,SUBSPECIES,EXACT,100,https://www.gbif.org/species/7272117,European mountain-ash
albark,,,,,,,,,,,,,,
fiskfjäll,,,,,,,,,,,,,,
