manual_species,count,match_level,genus,family,order,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,taxon_id,taxon_id_is_new,common_name_id,common_name_id_is_new,needs_manual_review,review_reason
svinmålla,8,species (common name),Chenopodium,Chenopodiaceae,Caryophyllales,svinmålla,Chenopodium album var album,Plantae,7219474.0,Chenopodium album album,VARIETY,EXACT,100.0,https://www.gbif.org/species/7219474,Lambsquarters,"svinmålla, svinmålla (frö)",,carried-over (species_split_taxa_gbif_matches.csv),Chenopodium,Amaranthaceae,Caryophyllales,Plantae,Chenopodium album var album,1678,False,1339,False,False,
cf pinus sp,8,genus (latin),Pinus,Pinaceae,Pinales,,,Plantae,2684241.0,Pinus,GENUS,EXACT,96.0,https://www.gbif.org/species/2684241,Deal,cf pinus sp,,carried-over (species_split_taxa_gbif_matches.csv),Pinus,Pinaceae,Pinales,Plantae,Pinus,47032,True,4301,True,False,
hovdjur,7,,,,,,,,,,,,,,,"hovdjur, stort hovdjur",,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank
cf quercus sp,7,genus (latin),Quercus,Fagaceae,Fagales,,,Plantae,2877951.0,Quercus,GENUS,EXACT,96.0,https://www.gbif.org/species/2877951,Acorn,cf quercus sp,,carried-over (species_split_taxa_gbif_matches.csv),Quercus,Fagaceae,Fagales,Plantae,Quercus,47033,True,4302,True,False,
hallon,7,species (common name),Rubus,Rosaceae,Rosales,hallon,Rubus idaeus,Plantae,2993094.0,Rubus idaeus,SPECIES,EXACT,99.0,https://www.gbif.org/species/2993094,American Red Raspberry,hallon,,carried-over (species_split_taxa_gbif_matches.csv),Rubus,Rosaceae,Rosales,Plantae,Rubus idaeus,4867,False,3711,False,False,
björn,6,animal (common name),Ursus,Ursidae,Carnivora,björn,Ursus arctos,Animalia,2433433.0,Ursus arctos,SPECIES,EXACT,100.0,https://www.gbif.org/species/2433433,Brown Bear,björn,,carried-over (species_split_taxa_gbif_matches.csv),Ursus,Ursidae,Carnivora,Animalia,Ursus arctos,47034,True,4303,True,False,
bärris,6,,,,,,,,,,,,,,,bärris,,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank
bränt?,6,,,,,,,,,,,,,,,bränt,,,,,,,,,False,,False,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
igelknopp,6,species (common name),Sparganium,Typhaceae,Poales,igelknopp,Sparganium emersum,Plantae,2702266.0,Sparganium emersum,SPECIES,EXACT,100.0,https://www.gbif.org/species/2702266,European Bur-reed,"igelknopp, stor igelknopp",,carried-over (species_split_taxa_gbif_matches.csv),Sparganium,Typhaceae,Poales,Plantae,Sparganium emersum,5510,False,4176,False,False,
vaccinium sp,6,genus (latin),Vaccinium,Ericaceae,Ericales,,,Plantae,2882813.0,Vaccinium,GENUS,EXACT,96.0,https://www.gbif.org/species/2882813,Bilberries,vaccinium sp,,carried-over (species_split_taxa_gbif_matches.csv),Vaccinium,Ericaceae,Ericales,Plantae,Vaccinium,47035,True,4304,True,False,
ros,6,"genus (suffix, ambiguous)",,,,,,,,,,,,,,ros,"Helianthus, Taraxacum, Rhododendron, Lathraea, Alcea, Nuphar, Nymphaea, Helleborus, Rosa",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Helianthus, Taraxacum, Rhododendron, Lathraea, Alcea, Nuphar, Nymphaea, Helleborus, Rosa"
svalört,6,species (common name),Ranunculus,Ranunculaceae,Ranunculales,svalört,Ranunculus ficaria ssp ficaria,Plantae,8204202.0,Ranunculus ficaria ficaria,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/8204202,,"svalört, svalörtsrot",,carried-over (species_split_taxa_gbif_matches.csv),Ficaria,Ranunculaceae,Ranunculales,Plantae,Ranunculus ficaria ssp ficaria,4501,False,3428,False,False,
ärta,6,"genus (suffix, ambiguous)",,,,,,,,,,,,,,ärta,"Dicentra, Lamprocapnos",,,,,,,,False,,False,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Dicentra, Lamprocapnos"
