manual_species,count,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,resolved_order,resolved_order_is_new,resolved_family,resolved_family_is_new,resolved_genus,resolved_genus_is_new,resolved_species,resolved_scientific_name,taxon_id,taxon_id_is_new,matched_existing_taxon,common_name_id,common_name_id_is_new,common_name_text,common_name_language,taxonomy_changes_needed,needs_manual_review,review_reason
vete,271,species (common name),vete,Triticum aestivum,Plantae,7795888.0,Triticum aestivum,SPECIES,EXACT,99.0,https://www.gbif.org/species/7795888,Bread Wheat,"skalvete, vete",vete,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum aestivum,Poales,False,Poaceae,False,Triticum,False,aestivum,Triticum aestivum,47017,True,False,4284,True,vete,2,new taxon 'Triticum aestivum' (author_id NULL); new Swedish common name 'vete',False,
lin,239,species (common name),lin,Linum usitatissimum,Plantae,2873861.0,Linum usitatissimum,SPECIES,EXACT,99.0,https://www.gbif.org/species/2873861,Common Flax,"lin, linfiber, linfrö",lin,,carried-over (species_split_taxa_gbif_matches.csv),Linum,Linaceae,Malpighiales,Plantae,Linum usitatissimum,Malpighiales,False,Linaceae,False,Linum,False,usitatissimum,Linum usitatissimum,47018,True,False,4285,True,lin,2,new taxon 'Linum usitatissimum' (author_id NULL); new Swedish common name 'lin',False,
trä?,220,,,,,,,,,,,,"bark, barr, barrträd, basstamdelar, knopp",trä,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
lind,220,species (common name),lind,Tilia cordata,Plantae,3152047.0,Tilia cordata,SPECIES,EXACT,99.0,https://www.gbif.org/species/3152047,Linden,"lind, lindbark, lindbast",lind,,carried-over (species_split_taxa_gbif_matches.csv),Tilia,Malvaceae,Malvales,Plantae,Tilia cordata,Malvales,False,Tiliaceae,False,Tilia,False,cordata,Tilia cordata,47019,True,False,4286,True,lind,2,new taxon 'Tilia cordata' (author_id NULL); new Swedish common name 'lind',False,
speltvete,186,species (common name),speltvete,Triticum spelta,Plantae,2706402,Triticum spelta,SPECIES,EXACT,100,,Spelt,"spel, spelt, spelt- emmervete",speltvete,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum spelta,Poales,False,Poaceae,False,Triticum,False,spelta,Triticum spelta,18227,False,True,4287,True,speltvete,2,new Swedish common name 'speltvete',False,
maloideae,179,,,,,,,,,,,,"maloidea, maloideae, maloidear",maloideae,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
lönn,175,species (common name),lönn,Acer platanoides,Plantae,3189846.0,Acer platanoides,SPECIES,EXACT,100.0,https://www.gbif.org/species/3189846,Norway Maple,lönn,lönn,,carried-over (species_split_taxa_gbif_matches.csv),Acer,Sapindaceae,Sapindales,Plantae,Acer platanoides,Alismatales,False,Acoraceae,False,Acer,False,platanoides,Acer platanoides,47020,True,False,4288,True,lönn,2,new taxon 'Acer platanoides' (author_id NULL); new Swedish common name 'lönn',False,
naket?,161,,,,,,,,,,,,"najet korn, naket, naket kor, naket korn",naket,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
bröd?,106,,,,,,,,,,,,bröd,bröd,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
pomoideae,103,,,,,,,,,,,,"pomoidea, pomoideae",pomoideae,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
