manual_species,count,match_level,sead_common_name,sead_species_name,kingdom,gbif_usage_key,gbif_canonical_name,gbif_rank,gbif_match_type,gbif_confidence,gbif_url,species_split_english,contributing_species_split,latin_text,ambiguous_genus_candidates,gbif_source,gbif_genus,gbif_family,gbif_order,gbif_kingdom,gbif_candidate,resolved_order,resolved_order_is_new,resolved_family,resolved_family_is_new,resolved_genus,resolved_genus_is_new,resolved_species,resolved_scientific_name,taxon_id,taxon_id_is_new,matched_existing_taxon,common_name_id,common_name_id_is_new,common_name_text,common_name_language,taxonomy_changes_needed,needs_manual_review,review_reason
prunus sp,12,genus (latin),,,Plantae,3020559.0,Prunus,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3020559,"Almond, Cherry, Plum",prunus sp,prunus,,carried-over (species_split_taxa_gbif_matches.csv),Prunus,Rosaceae,Rosales,Plantae,Prunus,Rosales,False,Rosaceae,False,Prunus,False,indet.,Prunus indet.,47036,True,False,4310,True,"Almond, Cherry, Plum",1,"new taxon 'Prunus indet.' (author_id NULL); new English common name 'Almond, Cherry, Plum'",False,
Starrsläktet,12,"genus (suffix, ambiguous)",,,Plantae,296322706,Carex,GENUS,VERNACULAR,,,Sedges,starr,starrsläktet,,species/search (vernacular),Carex,Cyperaceae,Poales,Plantae,,Poales,False,Cyperaceae,False,Carex,False,sp.,Carex sp.,39575,False,True,4311,True,Starrsläktet,2,new Swedish common name 'Starrsläktet',True,ambiguous genus suffix match (candidates not available); weak GBIF match (VERNACULAR)
bäver,11,animal (common name),bäver,Castor fiber,Animalia,4409131.0,Castor fiber,SPECIES,EXACT,100.0,https://www.gbif.org/species/4409131,Beaver,bäver,bäver,,carried-over (species_split_taxa_gbif_matches.csv),Castor,Castoridae,Rodentia,Animalia,Castor fiber,Rodentia,True,Castoridae,True,Castor,True,fiber,Castor fiber,47037,True,False,4312,True,bäver,2,new order 'Rodentia'; new family 'Castoridae'; new genus 'Castor'; new taxon 'Castor fiber' (author_id NULL); new Swedish common name 'bäver',False,
fisk?,11,,,,,,,,,,,,"fisk, fiskben, fiskfjäll",fisk,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
knylhavre,11,species (common name),knylhavre,Arrhenatherum elatius ssp elatius,Plantae,9781113.0,Arrhenatherum elatius elatius,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/9781113,False Oat-grass,knylhavre,knylhavre,,carried-over (species_split_taxa_gbif_matches.csv),Arrhenatherum,Poaceae,Poales,Plantae,Arrhenatherum elatius ssp elatius,Poales,False,Poaceae,False,Arrhenatherum,False,elatius ssp elatius,Arrhenatherum elatius ssp elatius,3737,False,True,2877,False,knylhavre,2,,False,
triticum,9,genus (latin),,,Plantae,2706388.0,Triticum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706388,Wheat,triticum,triticum,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum,Poales,False,Poaceae,False,Triticum,False,spp.,Triticum spp.,18240,False,True,4313,True,Wheat,1,new English common name 'Wheat',False,
ljung,9,species (common name),ljung,Calluna vulgaris,Plantae,2882482.0,Calluna vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/2882482,Common Heather,ljung,ljung,,carried-over (species_split_taxa_gbif_matches.csv),Calluna,Ericaceae,Ericales,Plantae,Calluna vulgaris,Ericales,False,Ericaceae,False,Calluna,False,vulgaris,Calluna vulgaris,47038,True,False,4314,True,ljung,2,new taxon 'Calluna vulgaris' (author_id NULL); new Swedish common name 'ljung',False,
vildsvin,9,animal (common name),vildsvin,Sus scrofa,Animalia,7705930.0,Sus scrofa,SPECIES,EXACT,100.0,https://www.gbif.org/species/7705930,Boar,vildsvin,vildsvin,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa,Artiodactyla,True,Suidae,True,Sus,True,scrofa,Sus scrofa,47039,True,False,4315,True,vildsvin,2,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa' (author_id NULL); new Swedish common name 'vildsvin',False,
mjölon,9,species (common name),mjölon,Arctostaphylos uva-ursi,Plantae,2882580.0,Arctostaphylos uva-ursi,SPECIES,EXACT,100.0,https://www.gbif.org/species/2882580,Bear-grape,mjölon,mjölon,,carried-over (species_split_taxa_gbif_matches.csv),Arctostaphylos,Ericaceae,Ericales,Plantae,Arctostaphylos uva-ursi,Ericales,False,Ericaceae,False,Arctostaphylos,False,uva-ursi,Arctostaphylos uva-ursi,47040,True,False,4316,True,mjölon,2,new taxon 'Arctostaphylos uva-ursi' (author_id NULL); new Swedish common name 'mjölon',False,
målla,8,"genus (suffix, ambiguous)",,,,,,,,,,,målla,målla,"Atriplex, Axyris, Bassia, Chenopodium",,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Atriplex, Axyris, Bassia, Chenopodium"
cf pinus sp,8,genus (latin),,,Plantae,2684241.0,Pinus,GENUS,EXACT,96.0,https://www.gbif.org/species/2684241,Deal,cf pinus sp,pinus,,carried-over (species_split_taxa_gbif_matches.csv),Pinus,Pinaceae,Pinales,Plantae,Pinus,Pinales,False,Pinaceae,False,Pinus,False,sp.,Pinus sp.,18197,False,True,4317,True,Deal,1,new English common name 'Deal',False,
svinmålla,8,species (common name),svinmålla,Chenopodium album var album,Plantae,7219474.0,Chenopodium album album,VARIETY,EXACT,100.0,https://www.gbif.org/species/7219474,Lambsquarters,"svinmålla, svinmålla (frö)",svinmålla,,carried-over (species_split_taxa_gbif_matches.csv),Chenopodium,Amaranthaceae,Caryophyllales,Plantae,Chenopodium album var album,Caryophyllales,False,Chenopodiaceae,False,Chenopodium,False,album var album,Chenopodium album var album,1678,False,True,1339,False,svinmålla,2,,False,
cf quercus sp,7,genus (latin),,,Plantae,2877951.0,Quercus,GENUS,EXACT,96.0,https://www.gbif.org/species/2877951,Acorn,cf quercus sp,quercus,,carried-over (species_split_taxa_gbif_matches.csv),Quercus,Fagaceae,Fagales,Plantae,Quercus,Fagales,False,Fagaceae,False,Quercus,False,sp.,Quercus sp.,18172,False,True,4318,True,Acorn,1,new English common name 'Acorn',False,
cf vaccinium sp,7,genus (latin),,,Plantae,2882813.0,Vaccinium,GENUS,EXACT,96.0,https://www.gbif.org/species/2882813,Bilberries,"cf vaccinium sp, vaccinium sp",vaccinium,,carried-over (species_split_taxa_gbif_matches.csv),Vaccinium,Ericaceae,Ericales,Plantae,Vaccinium,Ericales,False,Ericaceae,False,Vaccinium,False,indet.,Vaccinium indet.,47041,True,False,4319,True,Bilberries,1,new taxon 'Vaccinium indet.' (author_id NULL); new English common name 'Bilberries',False,
hallon,7,species (common name),hallon,Rubus idaeus,Plantae,2993094.0,Rubus idaeus,SPECIES,EXACT,99.0,https://www.gbif.org/species/2993094,American Red Raspberry,hallon,hallon,,carried-over (species_split_taxa_gbif_matches.csv),Rubus,Rosaceae,Rosales,Plantae,Rubus idaeus,Rosales,False,Rosaceae,False,Rubus,False,idaeus,Rubus idaeus,18191,False,True,4320,True,hallon,2,new Swedish common name 'hallon',False,
svalört,6,species (common name),svalört,Ranunculus ficaria ssp ficaria,Plantae,8204202.0,Ranunculus ficaria ficaria,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/8204202,,"svalört, svalörtsrot",svalört,,carried-over (species_split_taxa_gbif_matches.csv),Ficaria,Ranunculaceae,Ranunculales,Plantae,Ranunculus ficaria ssp ficaria,Ranunculales,False,Ranunculaceae,False,Ranunculus,False,ficaria ssp ficaria,Ranunculus ficaria ssp ficaria,4501,False,True,3428,False,svalört,2,,False,
idegran,6,species (common name),idegran,Taxus baccata,Plantae,5284517.0,Taxus baccata,SPECIES,EXACT,99.0,https://www.gbif.org/species/5284517,Canada Yew,idegran,idegran,,carried-over (species_split_taxa_gbif_matches.csv),Taxus,Taxaceae,Pinales,Plantae,Taxus baccata,Pinales,False,Taxaceae,False,Taxus,False,baccata,Taxus baccata,47042,True,False,4321,True,idegran,2,new taxon 'Taxus baccata' (author_id NULL); new Swedish common name 'idegran',False,
igelknopp,6,species (common name),igelknopp,Sparganium emersum,Plantae,2702266.0,Sparganium emersum,SPECIES,EXACT,100.0,https://www.gbif.org/species/2702266,European Bur-reed,"igelknopp, stor igelknopp",igelknopp,,carried-over (species_split_taxa_gbif_matches.csv),Sparganium,Typhaceae,Poales,Plantae,Sparganium emersum,Poales,False,Typhaceae,False,Sparganium,False,emersum,Sparganium emersum,47043,True,False,4322,True,igelknopp,2,new taxon 'Sparganium emersum' (author_id NULL); new Swedish common name 'igelknopp',False,
ärta,6,"genus (suffix, ambiguous)",,,,,,,,,,,ärta,ärta,"Dicentra, Lamprocapnos",,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Dicentra, Lamprocapnos"
ros,6,"genus (suffix, ambiguous)",,,,,,,,,,,ros,ros,"Helianthus, Taraxacum, Rhododendron, Alcea, Nuphar, Nymphaea, Lathraea, Helleborus, Rosa",,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Helianthus, Taraxacum, Rhododendron, Alcea, Nuphar, Nymphaea, Lathraea, Helleborus, Rosa"
bärris,6,,,,,,,,,,,,bärris,bärris,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
björn,6,animal (common name),björn,Ursus arctos,Animalia,2433433.0,Ursus arctos,SPECIES,EXACT,100.0,https://www.gbif.org/species/2433433,Brown Bear,björn,björn,,carried-over (species_split_taxa_gbif_matches.csv),Ursus,Ursidae,Carnivora,Animalia,Ursus arctos,Carnivora,True,Ursidae,True,Ursus,True,arctos,Ursus arctos,47044,True,False,4323,True,björn,2,new order 'Carnivora'; new family 'Ursidae'; new genus 'Ursus'; new taxon 'Ursus arctos' (author_id NULL); new Swedish common name 'björn',False,
bränt?,6,,,,,,,,,,,,bränt,bränt,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
cf picea sp,5,genus (latin),,,Plantae,7606064.0,Picea,GENUS,EXACT,95.0,https://www.gbif.org/species/7606064,Spruce,cf picea sp,picea,,carried-over (species_split_taxa_gbif_matches.csv),Picea,Pinaceae,Pinales,Plantae,Picea,Pinales,False,Pinaceae,False,Picea,False,abies ssp abies,Picea abies ssp abies,3591,False,True,2782,False,gran,2,,False,
cf alnus sp,5,genus (latin),,,Plantae,2876099.0,Alnus,GENUS,EXACT,95.0,https://www.gbif.org/species/2876099,Alder,cf alnus sp,alnus,,carried-over (species_split_taxa_gbif_matches.csv),Alnus,Betulaceae,Fagales,Plantae,Alnus,Fagales,False,Betulaceae,False,Alnus,False,sp.,Alnus sp.,18087,False,True,4324,True,Alder,1,new English common name 'Alder',False,
cf tilia sp,5,genus (latin),,,Plantae,3152041.0,Tilia,GENUS,EXACT,96.0,https://www.gbif.org/species/3152041,Basswood,cf tilia sp,tilia,,carried-over (species_split_taxa_gbif_matches.csv),Tilia,Malvaceae,Malvales,Plantae,Tilia,Malvales,False,Tiliaceae,False,Tilia,False,sp.,Tilia sp.,39507,False,True,4325,True,Basswood,1,new English common name 'Basswood',False,
gris,5,animal (common name),gris,Sus scrofa domesticus,Animalia,11374585.0,Sus scrofa domesticus,SUBSPECIES,EXACT,99.0,https://www.gbif.org/species/11374585,Domestic Pig,gris,gris,,carried-over (species_split_taxa_gbif_matches.csv),Sus,Suidae,Artiodactyla,Animalia,Sus scrofa domesticus,Artiodactyla,True,Suidae,True,Sus,True,scrofa domesticus,Sus scrofa domesticus,47024,True,False,4326,True,gris,2,new order 'Artiodactyla'; new family 'Suidae'; new genus 'Sus'; new taxon 'Sus scrofa domesticus' (author_id NULL); new Swedish common name 'gris',False,
poppel,5,genus (suffix-inferred),,,Plantae,3040183.0,Populus,GENUS,EXACT,96.0,https://www.gbif.org/species/3040183,"Aspen, Cottonwood, Poplar",poppel,poppel,,carried-over (species_split_taxa_gbif_matches.csv),Populus,Salicaceae,Malpighiales,Plantae,Populus,Salicales,False,Salicaceae,False,Populus,False,sp.,Populus sp.,39607,False,True,4327,True,poppel,2,new Swedish common name 'poppel',False,
vicker,5,genus (suffix-inferred),,,Plantae,2974751.0,Vicia,GENUS,EXACT,96.0,https://www.gbif.org/species/2974751,Vetch,vicker,vicker,,carried-over (species_split_taxa_gbif_matches.csv),Vicia,Fabaceae,Fabales,Plantae,Vicia,Fabales,False,Fabaceae,False,Vicia,False,sp.,Vicia sp.,39582,False,True,4328,True,vicker,2,new Swedish common name 'vicker',False,
sorbus sp,5,genus (latin),,,Plantae,3012146.0,Sorbus,GENUS,EXACT,96.0,https://www.gbif.org/species/3012146,Mountain Ashes,"sorbus, sorbus sp",sorbus,,carried-over (species_split_taxa_gbif_matches.csv),Sorbus,Rosaceae,Rosales,Plantae,Sorbus,Rosales,False,Rosaceae,False,Sorbus,False,indet.,Sorbus indet.,47045,True,False,4329,True,Mountain Ashes,1,new taxon 'Sorbus indet.' (author_id NULL); new English common name 'Mountain Ashes',False,
vikare,5,animal (common name),vikare,Pusa hispida,Animalia,5219369.0,Pusa hispida,SPECIES,EXACT,100.0,https://www.gbif.org/species/5219369,Arctic Ringed Seal,vikare,vikare,,carried-over (species_split_taxa_gbif_matches.csv),Pusa,Phocidae,Carnivora,Animalia,Pusa hispida,Carnivora,True,Phocidae,True,Pusa,True,hispida,Pusa hispida,47046,True,False,4330,True,vikare,2,new order 'Carnivora'; new family 'Phocidae'; new genus 'Pusa'; new taxon 'Pusa hispida' (author_id NULL); new Swedish common name 'vikare',False,
pilört,5,genus (suffix-inferred),,,Plantae,6390748.0,Persicaria,GENUS,EXACT,95.0,https://www.gbif.org/species/6390748,Knotweed,pilört,pilört,,carried-over (species_split_taxa_gbif_matches.csv),Persicaria,Polygonaceae,Caryophyllales,Plantae,Persicaria,Caryophyllales,False,Polygonaceae,False,Persicaria,False,sp.,Persicaria sp.,39599,False,True,4331,True,pilört,2,new Swedish common name 'pilört',False,
rådjur,4,animal (common name),rådjur,Capreolus capreolus,Animalia,5220126.0,Capreolus capreolus,SPECIES,EXACT,100.0,https://www.gbif.org/species/5220126,Corzo,rådjur,rådjur,,carried-over (species_split_taxa_gbif_matches.csv),Capreolus,Cervidae,Artiodactyla,Animalia,Capreolus capreolus,Artiodactyla,True,Cervidae,True,Capreolus,True,capreolus,Capreolus capreolus,47047,True,False,4332,True,rådjur,2,new order 'Artiodactyla'; new family 'Cervidae'; new genus 'Capreolus'; new taxon 'Capreolus capreolus' (author_id NULL); new Swedish common name 'rådjur',False,
måra,4,"genus (suffix, ambiguous)",,,,,,,,,,,måra,måra,"Asperula, Cruciata, Galium, Phuopsis",,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Asperula, Cruciata, Galium, Phuopsis"
olvon,4,species (common name),olvon,Viburnum opulus,Plantae,2888605.0,Viburnum opulus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2888605,Crampbark,olvon,olvon,,carried-over (species_split_taxa_gbif_matches.csv),Viburnum,Viburnaceae,Dipsacales,Plantae,Viburnum opulus,Asparagales,False,Alliaceae,False,Viburnum,False,opulus,Viburnum opulus,47048,True,False,4333,True,olvon,2,new taxon 'Viburnum opulus' (author_id NULL); new Swedish common name 'olvon',False,
cf maloideae sp,3,,,,,,,,,,,,"cf maloideae, cf maloideae sp",maloideae,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
cf acer sp,3,genus (latin),,,Plantae,3189834.0,Acer,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/3189834,Maple,cf acer sp,acer,,carried-over (species_split_taxa_gbif_matches.csv),Acer,Sapindaceae,Sapindales,Plantae,Acer,Alismatales,False,Acoraceae,False,Acer,False,sp.,Acer sp.,39510,False,True,4334,True,Maple,1,new English common name 'Maple',False,
gädda,3,animal (common name),gädda,Esox lucius,Animalia,2346633.0,Esox lucius,SPECIES,EXACT,100.0,https://www.gbif.org/species/2346633,American Pike,gädda,gädda,,carried-over (species_split_taxa_gbif_matches.csv),Esox,Esocidae,Esociformes,Animalia,Esox lucius,Esociformes,True,Esocidae,True,Esox,True,lucius,Esox lucius,47049,True,False,4335,True,gädda,2,new order 'Esociformes'; new family 'Esocidae'; new genus 'Esox'; new taxon 'Esox lucius' (author_id NULL); new Swedish common name 'gädda',False,
gråärt,3,gbif only (no prior SEAD anchor),,,Plantae,160020585,Pisum sativum arvense,VARIETY,VERNACULAR,,,,gråärt,gråärt,,species/search (vernacular),Pisum,Fabaceae,Fabales,Plantae,,Fabales,False,Fabaceae,False,Pisum,False,sp.,Pisum sp.,18255,False,True,4336,True,gråärt,2,new Swedish common name 'gråärt',True,weak GBIF match (VERNACULAR)
getapel,3,species (common name),getapel,Rhamnus catharticus,Plantae,3039491.0,Rhamnus cathartica,SPECIES,FUZZY,97.0,https://www.gbif.org/species/3039491,Buckthorn,getapel,getapel,,carried-over (species_split_taxa_gbif_matches.csv),Rhamnus,Rhamnaceae,Rosales,Plantae,Rhamnus catharticus,Rosales,False,Rhamnaceae,False,Rhamnus,False,catharticus,Rhamnus catharticus,47050,True,False,4337,True,getapel,2,new taxon 'Rhamnus catharticus' (author_id NULL); new Swedish common name 'getapel',True,weak GBIF match (FUZZY)
hagtorn,3,genus (suffix-inferred),,,Plantae,3013395.0,Crataegus,GENUS,EXACT,96.0,https://www.gbif.org/species/3013395,Haw,hagtorn,hagtorn,,carried-over (species_split_taxa_gbif_matches.csv),Crataegus,Rosaceae,Rosales,Plantae,Crataegus,Rosales,False,Rosaceae,False,Crataegus,False,sp.,Crataegus sp.,39602,False,True,4338,True,hagtorn,2,new Swedish common name 'hagtorn',False,
benved,3,species (common name),benved,Evonymus europaeus,Plantae,7403009.0,Evonymus europaeus,SPECIES,EXACT,100.0,https://www.gbif.org/species/7403009,,benved,benved,,carried-over (species_split_taxa_gbif_matches.csv),Euonymus,Celastraceae,Celastrales,Plantae,Evonymus europaeus,Insertis Sedis,False,Celastraceae,False,Evonymus,False,europaeus,Evonymus europaeus,47051,True,False,4339,True,benved,2,new taxon 'Evonymus europaeus' (author_id NULL); new Swedish common name 'benved',False,
böna?,3,species (common name),böna,Phaseolus vulgaris,Plantae,5350452.0,Phaseolus vulgaris,SPECIES,EXACT,99.0,https://www.gbif.org/species/5350452,Bean,böna,böna,,carried-over (species_split_taxa_gbif_matches.csv),Phaseolus,Fabaceae,Fabales,Plantae,Phaseolus vulgaris,Fabales,False,Fabaceae,False,Phaseolus,False,vulgaris,Phaseolus vulgaris,47052,True,False,4340,True,böna,2,new taxon 'Phaseolus vulgaris' (author_id NULL); new Swedish common name 'böna',True,marked uncertain ('?') in the manual mapping
triticum sp,3,genus (latin),,,Plantae,2706388.0,Triticum,GENUS,EXACT,96.0,https://www.gbif.org/species/2706388,Wheat,triticum sp,triticum,,carried-over (species_split_taxa_gbif_matches.csv),Triticum,Poaceae,Poales,Plantae,Triticum,Poales,False,Poaceae,False,Triticum,False,spp.,Triticum spp.,18240,False,True,4313,True,Wheat,1,new English common name 'Wheat',False,
uroxe,3,animal (common name),uroxe,Bos primigenius,Animalia,2441024.0,Bos primigenius,SPECIES,EXACT,100.0,https://www.gbif.org/species/2441024,Auroch,uroxe,uroxe,,carried-over (species_split_taxa_gbif_matches.csv),Bos,Bovidae,Artiodactyla,Animalia,Bos primigenius,Artiodactyla,True,Bovidae,True,Bos,True,primigenius,Bos primigenius,47053,True,False,4341,True,uroxe,2,new order 'Artiodactyla'; new family 'Bovidae'; new genus 'Bos'; new taxon 'Bos primigenius' (author_id NULL); new Swedish common name 'uroxe',False,
sälg,3,species (common name),sälg,Salix caprea ssp caprea,Plantae,7544926.0,Salix caprea caprea,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/7544926,,sälg,sälg,,carried-over (species_split_taxa_gbif_matches.csv),Salix,Salicaceae,Malpighiales,Plantae,Salix caprea ssp caprea,Salicales,False,Salicaceae,False,Salix,False,caprea ssp caprea,Salix caprea ssp caprea,5110,False,True,3893,False,sälg,2,,False,
gråsäl,3,animal (common name),gråsäl,Halichoerus grypus,Animalia,2434806.0,Halichoerus grypus,SPECIES,EXACT,100.0,https://www.gbif.org/species/2434806,Atlantic Gray Seal,gråsäl,gråsäl,,carried-over (species_split_taxa_gbif_matches.csv),Halichoerus,Phocidae,Carnivora,Animalia,Halichoerus grypus,Carnivora,True,Phocidae,True,Halichoerus,True,grypus,Halichoerus grypus,47054,True,False,4342,True,gråsäl,2,new order 'Carnivora'; new family 'Phocidae'; new genus 'Halichoerus'; new taxon 'Halichoerus grypus' (author_id NULL); new Swedish common name 'gråsäl',False,
oxel,3,species (common name),oxel,Sorbus intermedia,Plantae,5015.0,Rosaceae,FAMILY,HIGHERRANK,99.0,https://www.gbif.org/species/5015,Rose Family,oxel,oxel,,carried-over (species_split_taxa_gbif_matches.csv),,Rosaceae,Rosales,Plantae,Sorbus intermedia,Rosales,False,Rosaceae,False,Sorbus,False,intermedia,Sorbus intermedia,47055,True,False,4343,True,oxel,2,new taxon 'Sorbus intermedia' (author_id NULL); new Swedish common name 'oxel',False,
rosa sp,3,genus (latin),,,Plantae,8395064.0,Rosa,GENUS,EXACT,95.0,https://www.gbif.org/species/8395064,Damask Rose,rosa sp,rosa,,carried-over (species_split_taxa_gbif_matches.csv),Rosa,Rosaceae,Rosales,Plantae,Rosa,Rosales,False,Rosaceae,False,Rosa,False,indet.,Rosa indet.,47056,True,False,4344,True,Damask Rose,1,new taxon 'Rosa indet.' (author_id NULL); new English common name 'Damask Rose',False,
triticum aestivum,3,species (latin),,Triticum aestivum,Plantae,7795888,Triticum aestivum,SPECIES,EXACT,99,,Bread Wheat,triticum aestivum,triticum aestivum,,species/match,Triticum,Poaceae,Poales,Plantae,Triticum aestivum,Poales,False,Poaceae,False,Triticum,False,aestivum,Triticum aestivum,47017,True,False,4345,True,Bread Wheat,1,new taxon 'Triticum aestivum' (author_id NULL); new English common name 'Bread Wheat',False,
trampört,3,genus (suffix-inferred),,,Plantae,2889077.0,Polygonum,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/2889077,Knotgrass,trampört,trampört,,carried-over (species_split_taxa_gbif_matches.csv),Polygonum,Polygonaceae,Caryophyllales,Plantae,Polygonum,Caryophyllales,False,Polygonaceae,False,Polygonum,False,sp.,Polygonum sp.,18181,False,True,4346,True,trampört,2,new Swedish common name 'trampört',False,
starrfrukt,3,,,,,,,,,,,,"starrfrukt, starrfrukter",starrfrukt,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
säd,3,,,,,,,,,,,,säd,säd,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
rönn,3,species (common name),rönn,Sorbus aucuparia ssp aucuparia,Plantae,7272117.0,Sorbus aucuparia aucuparia,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/7272117,European mountain-ash,rönn,rönn,,carried-over (species_split_taxa_gbif_matches.csv),Sorbus,Rosaceae,Rosales,Plantae,Sorbus aucuparia ssp aucuparia,Rosales,False,Rosaceae,False,Sorbus,False,aucuparia ssp aucuparia,Sorbus aucuparia ssp aucuparia,4937,False,True,3771,False,rönn,2,,False,
vildapel,2,species (common name),vildapel,Malus sylvestris,Plantae,3001509.0,Malus sylvestris,SPECIES,EXACT,99.0,https://www.gbif.org/species/3001509,Crab Apple,vildapel,vildapel,,carried-over (species_split_taxa_gbif_matches.csv),Malus,Rosaceae,Rosales,Plantae,Malus sylvestris,Rosales,False,Rosaceae,False,Malus,False,sylvestris,Malus sylvestris,47057,True,False,4347,True,vildapel,2,new taxon 'Malus sylvestris' (author_id NULL); new Swedish common name 'vildapel',False,
äpple,2,"genus (suffix, ambiguous)",,,,,,,,,,,"äppelkärna, äpple",äpple,"Punicea, Solanum",,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,"no GBIF or SEAD match at any rank; ambiguous genus suffix match, candidates: Punicea, Solanum"
,2,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,False,
delfin,2,animal (family),delfin,,Animalia,5314.0,Delphinidae,FAMILY,EXACT,96.0,https://www.gbif.org/species/5314,Dolphin,delfin,delfin,,carried-over (species_split_taxa_gbif_matches.csv),,Delphinidae,Cetacea,Animalia,Delphinidae,Cetacea,True,Delphinidae,True,Delphinidae indet,True,indet.,Delphinidae indet indet.,47058,True,False,4348,True,delfin,2,new order 'Cetacea'; new family 'Delphinidae'; new genus 'Delphinidae indet'; new taxon 'Delphinidae indet indet.' (author_id NULL); new Swedish common name 'delfin',False,
fläder,2,species (common name),fläder,Sambucus nigra,Plantae,2888728.0,Sambucus nigra,SPECIES,EXACT,99.0,https://www.gbif.org/species/2888728,Black Elder,fläder,fläder,,carried-over (species_split_taxa_gbif_matches.csv),Sambucus,Viburnaceae,Dipsacales,Plantae,Sambucus nigra,Alismatales,False,Alismataceae,False,Sambucus,False,nigra,Sambucus nigra,47059,True,False,4349,True,fläder,2,new taxon 'Sambucus nigra' (author_id NULL); new Swedish common name 'fläder',False,
amulettring?,2,,,,,,,,,,,,amulettring,amulettring,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
hovdjur,2,,,,,,,,,,,,stort hovdjur,hovdjur,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
betula,2,genus (latin),,,Plantae,2875008.0,Betula,GENUS,HIGHERRANK,95.0,https://www.gbif.org/species/2875008,Birch,betula,betula,,carried-over (species_split_taxa_gbif_matches.csv),Betula,Betulaceae,Fagales,Plantae,Betula,Fagales,False,Betulaceae,False,Betula,False,sp.,Betula sp.,18086,False,True,4350,True,Birch,1,new English common name 'Birch',False,
tiggarranunkel,2,species (common name),tiggarranunkel,Ranunculus scleratus,Plantae,9065081.0,Ranunculus scleratus,SPECIES,EXACT,100.0,https://www.gbif.org/species/9065081,,tiggarranunkel,tiggarranunkel,,carried-over (species_split_taxa_gbif_matches.csv),Ranunculus,Ranunculaceae,Ranunculales,Plantae,Ranunculus scleratus,Ranunculales,False,Ranunculaceae,False,Ranunculus,False,scleratus,Ranunculus scleratus,47060,True,False,4351,True,tiggarranunkel,2,new taxon 'Ranunculus scleratus' (author_id NULL); new Swedish common name 'tiggarranunkel',False,
kalkbruk?,2,,,,,,,,,,,,kalkbruk,kalkbruk,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank; marked uncertain ('?') in the manual mapping
jurpa,2,,,,,,,,,,,,jurpa,jurpa,,,,,,,,,False,,False,,False,,,,False,False,,False,,,,True,no GBIF or SEAD match at any rank
kråkbär,2,species (common name),kråkbär,Empetrum nigrum ssp nigrum,Plantae,6387990.0,Empetrum nigrum nigrum,SUBSPECIES,EXACT,100.0,https://www.gbif.org/species/6387990,Crowberry,kråkbär,kråkbär,,carried-over (species_split_taxa_gbif_matches.csv),Empetrum,Ericaceae,Ericales,Plantae,Empetrum nigrum ssp nigrum,Ericales,False,Ericaceae,False,Empetrum,False,nigrum ssp nigrum,Empetrum nigrum ssp nigrum,2256,False,True,1740,False,kråkbär,2,,False,
